id,kode,path,nama
10000,"inventory","/inventory","Inventory"
10001,"inventory-rkbu-plan","/inventory/rkbu/plan","Rencana"
10002,"inventory-rkbu-plan-add","/inventory/rkbu/plan/add","Rencana Tambah"
10003,"inventory-rkbu-plan-edit","/inventory/rkbu/plan/{id}/edit","Rencana Edit"
10004,"inventory-rkbu-plan-delete","/inventory/rkbu/plan/{id}/delete","Rencana Hapus"
10005,"inventory-rkbu-plan-save","/inventory/rkbu/plan/save","Rencana Simpan"
10006,"inventory-rkbu-plan-act","/inventory/rkbu/plan/{act}/act","Rencana Action"
10007,"inventory-produk","/inventory/produk","Barang"
10008,"inventory-produk-add","/inventory/produk/add","Barang Tambah"
10009,"inventory-produk-edit","/inventory/produk/{id}/edit","Barang Edit"
10010,"inventory-produk-delete","/inventory/produk/{id}/delete","Barang Hapus"
10011,"inventory-produk-save","/inventory/produk/save","Barang Simpan"
10012,"inventory-produk-act","/inventory/produk/{act}/act","Barang Action"
10013,"inventory-urusan","/inventory/urusan","Urusan"
10014,"inventory-urusan-add","/inventory/urusan/add","Urusan Tambah"
10015,"inventory-urusan-edit","/inventory/urusan/{id}/edit","Urusan Edit"
10016,"inventory-urusan-delete","/inventory/urusan/{id}/delete","Urusan Hapus"
10017,"inventory-urusan-save","/inventory/urusan/save","Urusan Simpan"
10018,"inventory-urusan-act","/inventory/urusan/{act}/act","Urusan Action"
10019,"inventory-unit","/inventory/unit","Unit Kerja"
10020,"inventory-unit-add","/inventory/unit/add","Unit Kerja Tambah"
10021,"inventory-unit-edit","/inventory/unit/{id}/edit","Unit Kerja Edit"
10022,"inventory-unit-delete","/inventory/unit/{id}/delete","Unit Kerja Hapus"
10023,"inventory-unit-save","/inventory/unit/save","Unit Kerja Simpan"
10024,"inventory-unit-act","/inventory/unit/{act}/act","Unit Kerja Action"
10025,"inventory-measure","/inventory/measure","Satuan"
10026,"inventory-measure-add","/inventory/measure/add","Satuan Tambah"
10027,"inventory-measure-edit","/inventory/measure/{id}/edit","Satuan Edit"
10028,"inventory-measure-delete","/inventory/measure/{id}/delete","Satuan Hapus"
10029,"inventory-measure-save","/inventory/measure/save","Satuan Simpan"
10030,"inventory-measure-act","/inventory/measure/{act}/act","Satuan Action"
10031,"inventory-vendor","/inventory/vendor","Vendor"
10032,"inventory-vendor-add","/inventory/vendor/add","Vendor Tambah"
10033,"inventory-vendor-edit","/inventory/vendor/{id}/edit","Vendor Edit"
10034,"inventory-vendor-delete","/inventory/vendor/{id}/delete","Vendor Hapus"
10035,"inventory-vendor-save","/inventory/vendor/save","Vendor Simpan"
10036,"inventory-vendor-act","/inventory/vendor/{act}/act","Vendor Action"
10037,"inventory-rkbu-approval","/inventory/rkbu/approval","Approval RKBU"
10038,"inventory-rkbu-approval-add","/inventory/rkbu/approval/add","Approval RKBU Tambah"
10039,"inventory-rkbu-approval-edit","/inventory/rkbu/approval/{id}/edit","Approval RKBU Edit"
10040,"inventory-rkbu-approval-delete","/inventory/rkbu/approval/{id}/delete","Approval RKBU Hapus"
10041,"inventory-rkbu-approval-save","/inventory/rkbu/approval/save","Approval RKBU Simpan"
10042,"inventory-rkbu-approval-act","/inventory/rkbu/approval/{act}/act","Approval RKBU Action"
10043,"inventory-rkbu-report","/inventory/rkbu/report","Laporan RKBU"
10044,"inventory-rkbu-report-act","/inventory/rkbu/report/act/{act}","Laporan RKBU Action"
10045,"inventory-warehouse-receipt","/inventory/warehouse/receipt","Penerimaan Gudang"
10046,"inventory-warehouse-receipt-add","/inventory/warehouse/receipt/add","Penerimaan Gudang Tambah"
10047,"inventory-warehouse-receipt-edit","/inventory/warehouse/receipt/{id}/edit","Penerimaan Gudang Edit"
10048,"inventory-warehouse-receipt-delete","/inventory/warehouse/receipt/{id}/delete","Penerimaan Gudang Hapus"
10049,"inventory-warehouse-receipt-save","/inventory/warehouse/receipt/save","Penerimaan Gudang Simpan"
10050,"inventory-warehouse-receipt-act","/inventory/warehouse/receipt/{act}/act","Penerimaan Gudang Action"
10051,"inventory-warehouse-deliver","/inventory/warehouse/deliver","Pengiriman"
10052,"inventory-warehouse-deliver-add","/inventory/warehouse/deliver/add","Pengiriman Tambah"
10053,"inventory-warehouse-deliver-edit","/inventory/warehouse/deliver/{id}/edit","Pengiriman Edit"
10054,"inventory-warehouse-deliver-delete","/inventory/warehouse/deliver/{id}/delete","Pengiriman Hapus"
10055,"inventory-warehouse-deliver-save","/inventory/warehouse/deliver/save","Pengiriman Simpan"
10056,"inventory-warehouse-deliver-act","/inventory/warehouse/deliver/{act}/act","Pengiriman Action"
10057,"inventory-warehouse-adjust","/inventory/warehouse/adjust","Penyesuaian"
10058,"inventory-warehouse-adjust-add","/inventory/warehouse/adjust/add","Penyesuaian Tambah"
10059,"inventory-warehouse-adjust-edit","/inventory/warehouse/adjust/{id}/edit","Penyesuaian Edit"
10060,"inventory-warehouse-adjust-delete","/inventory/warehouse/adjust/{id}/delete","Penyesuaian Hapus"
10061,"inventory-warehouse-adjust-save","/inventory/warehouse/adjust/save","Penyesuaian Simpan"
10062,"inventory-warehouse-adjust-act","/inventory/warehouse/adjust/{act}/act","Penyesuaian Action"
10063,"inventory-warehouse-report","/inventory/warehouse/report","Laporan Gudang"
10064,"inventory-warehouse-report-act","/inventory/warehouse/report/act/{act}","Laporan Gudang Action"
10065,"inventory-order","/inventory/order","Order"
10066,"inventory-order-add","/inventory/order/add","Order Tambah"
10067,"inventory-order-edit","/inventory/order/{id}/edit","Order Edit"
10068,"inventory-order-delete","/inventory/order/{id}/delete","Order Hapus"
10069,"inventory-order-save","/inventory/order/save","Order Simpan"
10070,"inventory-order-act","/inventory/order/{act}/act","Order Action"
10071,"inventory-order-approval","/inventory/order/approval","Approval Order"
10072,"inventory-order-approval-add","/inventory/order/approval/add","Approval Order Tambah"
10073,"inventory-order-approval-edit","/inventory/order/approval/{id}/edit","Approval Order Edit"
10074,"inventory-order-approval-delete","/inventory/order/approval/{id}/delete","Approval Order Hapus"
10075,"inventory-order-approval-save","/inventory/order/approval/save","Approval Order Simpan"
10076,"inventory-order-approval-act","/inventory/order/approval/{act}/act","Approval Order Action"
10077,"inventory-order-accept","/inventory/order/accept","Penerimaan Order"
10078,"inventory-order-accept-add","/inventory/order/accept/add","Penerimaan Order Tambah"
10079,"inventory-order-accept-edit","/inventory/order/accept/{id}/edit","Penerimaan Order Edit"
10080,"inventory-order-accept-delete","/inventory/order/accept/{id}/delete","Penerimaan Order Hapus"
10081,"inventory-order-accept-save","/inventory/order/accept/save","Penerimaan Order Simpan"
10082,"inventory-order-accept-act","/inventory/order/accept/{act}/act","Penerimaan Order Action"
10083,"inventory-order-report","/inventory/order/report","Laporan Order"
10084,"inventory-order-report-act","/inventory/order/report/act/{act}","Laporan Order Action"
10085,"inventory-rkbu-plan-item-act","/inventory/rkbu/plan/item/{product_plan_id}/act/{act}","Item Rencana Action"     
10086,"inventory-rkbu-plan-item-add","/inventory/rkbu/plan/item/{product_plan_id}/add","Item Rencana Tambah"           
10087,"inventory-rkbu-plan-item-edit","/inventory/rkbu/plan/item/{product_plan_id}/{id}/edit","Item Rencana Edit"      
10088,"inventory-rkbu-plan-item-delete","/inventory/rkbu/plan/item/{product_plan_id}/{id}/delete","Item Rencana Hapus" 
10089,"inventory-rkbu-approval-approve","/inventory/rkbu/approval/{id}/approve","Approval RKBU Ijinkan"                
10090,"inventory-rkbu-approval-reject","/inventory/rkbu/approval/{id}/reject","Approval RKBU Batalkan"     
10091,"inventory-warehouse-receipt-item-act","/inventory/warehouse/receipt/item/{product_receipt_id}/act/{act}","Item Penerimaan Gudang Action"    
10092,"inventory-warehouse-receipt-item-add","/inventory/warehouse/receipt/item/{product_receipt_id}/add","Item Penerimaan Gudang Tambah"          
10093,"inventory-warehouse-receipt-item-edit","/inventory/warehouse/receipt/item/{product_receipt_id}/{id}/edit","Item Penerimaan Gudang Edit"     
10094,"inventory-warehouse-receipt-item-delete","/inventory/warehouse/receipt/item/{product_receipt_id}/{id}/delete","Item Penerimaan Gudang Hapus"
10095,"inventory-order-item-act","/inventory/order/item/{product_request_id}/act/{act}","Item Order Action"                                        
10096,"inventory-order-item-add","/inventory/order/item/{product_request_id}/add","Item Order Tambah"                                              
10097,"inventory-order-item-edit","/inventory/order/item/{product_request_id}/{id}/edit","Item Order Edit"                                         
10098,"inventory-order-item-delete","/inventory/order/item/{product_request_id}/{id}/delete","Item Order Hapus"                                    
10099,"inventory-order-approval-approve","/inventory/order/approval/{id}/approve","Approval Order Ijinkan"                                         
10100,"inventory-order-approval-reject","/inventory/order/approval/{id}/reject","Approval Order Batalkan"                                          
10101,"inventory-warehouse-deliver-item-act","/inventory/warehouse/deliver/item/{product_deliver_id}/act/{act}","Item Pengiriman Action"           
10102,"inventory-warehouse-deliver-item-add","/inventory/warehouse/deliver/item/{product_deliver_id}/add","Item Pengiriman Tambah"                 
10103,"inventory-warehouse-deliver-item-edit","/inventory/warehouse/deliver/item/{product_deliver_id}/{id}/edit","Item Pengiriman Edit"            
10104,"inventory-warehouse-deliver-item-delete","/inventory/warehouse/deliver/item/{product_deliver_id}/{id}/delete","Item Pengiriman Hapus"       
10105,"inventory-order-accept-item-act","/inventory/order/accept/item/{product_accept_id}/act/{act}","Item Penerimaan Order Action"                
10106,"inventory-order-accept-item-add","/inventory/order/accept/item/{product_accept_id}/add","Item Penerimaan Order Tambah"                      
10107,"inventory-order-accept-item-edit","/inventory/order/accept/item/{product_accept_id}/{id}/edit","Item Penerimaan Order Edit"                 
10108,"inventory-order-accept-item-delete","/inventory/order/accept/item/{product_accept_id}/{id}/delete","Item Penerimaan Order Hapus"            
10109,"inventory-warehouse-adjust-item-act","/inventory/warehouse/adjust/item/{product_adjust_id}/act/{act}","Item Penyesuaian Action"    
10110,"inventory-warehouse-adjust-item-add","/inventory/warehouse/adjust/item/{product_adjust_id}/add","Item Penyesuaian Tambah"          
10111,"inventory-warehouse-adjust-item-edit","/inventory/warehouse/adjust/item/{product_adjust_id}/{id}/edit","Item Penyesuaian Edit"     
10112,"inventory-warehouse-adjust-item-delete","/inventory/warehouse/adjust/item/{product_adjust_id}/{id}/delete","Item Penyesuaian Hapus"         